segment_id,segment_text,proc
1,About a month ago see we were going to a church league softball game...,54.44%
2,They'd had the games all scheduled for the diamond at Homestead High School.,33.33%
3,You know where that's at?,4.44%
4,"Well we're going up Twenty­-four,",63.33%
5,"and getting ready to turn there, at Ranch Eggs,",21.11%
6,"and I was slowing down,",5.56%
7,"got my turn signal on,",5.56%
8,"and as I was slowing down,",5.56%
9,"there's this guy sitting over here to the right,",14.44%
10,coming on to Twenty­-four.,8.89%
11,Looked like he's about in his middle fifties.,28.89%
12,And he starts creeping out onto Twenty-four,14.44%
13,"and he's blocking off the lane,",38.89%
14,and he's heading for the same spot that I'm going.,6.67%
15,You know how you sit there and wait for the traffic to get by?,4.44%
16,Right there in the median?,5.56%
17,"This guy starts,",2.22%
18,"pulls out in the lane,",4.44%
19,"I thought ""you jerk""...",8.89%
20,but I hurried up and got in there ahead of him.,21.11%
21,And he sits there and waits on.,3.33%
22,Mean he's got Twenty­-four blocked.,11.11%
23,He's sitting there right in the middle of the highway.,11.11%
24,Got it blocked.,13.33%
25,"So we went on across as soon as traffic cleared,",8.89%
26,"and we're headed up there towards that diamond,",6.67%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",8.89%
28,"and this guy's following us see,",22.22%
29,as we're going up there this little hill right there.,4.44%
30,At Ranch Eggs.,10.00%
31,"We're going up this hill,",5.56%
32,and this guy's right on my tail.,36.67%
33,"And Lisa was with me,",38.89%
34,and she said “That guy is right on your tail!”,26.67%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",22.22%
36,"and I'm trying to keep an eye on him,",7.78%
37,make sure he doesn't slam into me or anything.,7.78%
38,"He starts weaving back and forth,",43.33%
39,couldn't keep it in one lane.,37.78%
40,Really ...bad news.,3.33%
41,And all the time this is going on...,2.22%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,25.56%
43,How it's everybody's responsibility.,7.78%
44,So I was trying to make up my mind what to do.,5.56%
45,I was pretty sure he was drunk...,32.22%
46,at least he appeared that way...,12.22%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",20.00%
48,"'cause I'm thinking he's drunk,",7.78%
49,"and I know I oughta do something about it,",4.44%
50,"but at the same time if he's sick,",27.78%
51,"like maybe he's having a heart attack or something,",28.89%
52,you know.,2.22%
53,You gotta do something.,7.78%
54,"I'd really feel bad if I read the papers the next day that the guy,",10.00%
55,some guy died with a heart attack and there I was thinking he was drunk.,22.22%
56,And I didn't really want to get involved to be honest with you.,4.44%
57,"But I had made up my mind that I was going to,",8.89%
58,"so we pulled up to the stop at this sign,",11.11%
59,and right across the road stopped a sheriff's car.,45.56%
60,"So I motion for him to come over,",25.56%
61,"and they whip across the road,",4.44%
62,"and I got out the car,",6.67%
63,"walked over there,",4.44%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",62.22%
65,but he's got a problem.,24.44%
66,He can't keep his car on one side of the road.”,10.00%
67,And I said “He's got a definite problem...”,1.11%
68,So they started down there.,7.78%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",10.00%
70,the guy stops way far away from the intersection.,26.67%
71,"He stops,",13.33%
72,"and he throws his car into reverse,",40.00%
73,and starts backing up.,28.89%
74,"When the cops went down there to check him out,",11.11%
75,he starts backing up going backwards down that road.,13.33%
76,"Pretty soon they catch up with him,",5.56%
77,"and he starts forward again,",23.33%
78,"and they make a U­-turn in the road and start following him,",31.11%
79,and he's just driving real slow and careful.,34.44%
80,Ha ha it's pretty comical...,17.78%
81,I don't know if they ever stopped him or not.,37.78%
