recall_id,clause_id,clause_text
606c7b742c448e3ca901220c,1,A man had three friends in college in 1949.
606c7b742c448e3ca901220c,2,"They had previously been acquainted as high school athletes,"
606c7b742c448e3ca901220c,3,"but once they entered school together,"
606c7b742c448e3ca901220c,4,they all became friends.
606c7b742c448e3ca901220c,5,The man was a farm boy
606c7b742c448e3ca901220c,6,"and his friends were all from the city,"
606c7b742c448e3ca901220c,7,so they came to his family's farm to hunt and help out with chores.
606c7b742c448e3ca901220c,8,"One day, they decided to go hunt a bear,"
606c7b742c448e3ca901220c,9,and the man joined them even though he didn't really want to.
606c7b742c448e3ca901220c,10,"They took a plane up to Canada,"
606c7b742c448e3ca901220c,11,"and then took their canoes on a big lake,"
606c7b742c448e3ca901220c,12,"travelled that way for a few days,"
606c7b742c448e3ca901220c,13,and then backpacked another 500 miles or so until they reached the cabin they had rented.
606c7b742c448e3ca901220c,14,"The area around the cabin was a spooky wood,"
606c7b742c448e3ca901220c,15,so they were afraid to go out into the woods.
606c7b742c448e3ca901220c,16,"Eventually, they decided that,"
606c7b742c448e3ca901220c,17,"since everyone was expecting them to bring home a bear,"
606c7b742c448e3ca901220c,18,that they had to actually go out and hunt.
606c7b742c448e3ca901220c,19,They drew cards to determine who was going to go out and get the bear
606c7b742c448e3ca901220c,20,"(the rest would skin and pack it),"
606c7b742c448e3ca901220c,21,and it was the narrator who was chosen.
606c7b742c448e3ca901220c,22,He went out with his gun
606c7b742c448e3ca901220c,23,"and found a massive bear,"
606c7b742c448e3ca901220c,24,"but when he went to shoot it,"
606c7b742c448e3ca901220c,25,he found he had forgotten to load his gun.
606c7b742c448e3ca901220c,26,"The bear chased him back to the cabin,"
606c7b742c448e3ca901220c,27,and his friends opened the door for him just in time.
606c7b742c448e3ca901220c,28,"It has been 30 years since then,"
606c7b742c448e3ca901220c,29,and his friends haven't invited him to go hunting again.
5bf1c9d332cb3b0001f6f1c3,1,I knew some acquaintances
5bf1c9d332cb3b0001f6f1c3,2,and then when I went to a new school
5bf1c9d332cb3b0001f6f1c3,3,they were then also there
5bf1c9d332cb3b0001f6f1c3,4,and we got to being good friends.
5bf1c9d332cb3b0001f6f1c3,5,We were all on the same athletics team.
5bf1c9d332cb3b0001f6f1c3,6,The other 3 lived in the city
5bf1c9d332cb3b0001f6f1c3,7,however I was brought up on a farm
5bf1c9d332cb3b0001f6f1c3,8,and they liked to come up to the farm to help with chores and hunt.
5bf1c9d332cb3b0001f6f1c3,9,As we grew up
5bf1c9d332cb3b0001f6f1c3,10,we were talking one day
5bf1c9d332cb3b0001f6f1c3,11,and someone mentioned about going bear hunting
5bf1c9d332cb3b0001f6f1c3,12,however I really didn¡¯t want to go.
5bf1c9d332cb3b0001f6f1c3,13,I also didn¡¯t want to disappoint the group
5bf1c9d332cb3b0001f6f1c3,14,so I agreed to go even through I didn¡¯t want to.
